"","ofi_insc","prov_insc","cant_insc","parr_insc","anio_insc","mes_insc","dia_insc","fecha_insc","hijos_rec","mcap_bie","nac_hom","cod_paish","anio_nach","mes_nach","dia_nach","fecha_nach","edad_hom","nmatanth","est_civih","p_etnica_hom","sabe_leerh","niv_insth","prov_habh","cant_habh","parr_habh","area_hom","nac_muj","cod_paism","anio_nacm","mes_nacm","dia_nacm","fecha_nacm","edad_muj","nmatantm","est_civim","p_etnica_muj","sabe_leerm","niv_instm","prov_habm","cant_habm","parr_habm","area_muj"
"59344",1,"Loja","Calvas","Cariamanga, cabecera cantonal ",2014," Octubre ",7,13632019200,0,"No","Ecuatoriano","Ecuador ",1990," Junio ",10,12864355200,24,0,"Soltero","Mestizo","Si","Educación básica","Loja","Calvas","Cariamanga, cabecera cantonal ","Urbana","Ecuatoriana","Ecuador ",1987," Octubre ",8,12780028800,26,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Loja","Calvas","Cariamanga, cabecera cantonal ","Urbana"
"59345",1,"Manabí","Chone","Chone, cabecera cantonal",2014," Abril ",9,13616380800,0,"No","Ecuatoriano","Ecuador ",1986," Agosto ",5,12742963200,27,0,"Soltero","Ignorado","Si","Secundaria","Manabí","Bolívar","Calceta, cabecera cantonal ","Urbana","Ecuatoriana","Ecuador ",1986," Agosto ",12,12743568000,27,0,"Soltera","Mestiza","Si","Superior","Manabí","Bolívar","Calceta, cabecera cantonal ","Urbana"
"59346",1,"Manabí","Chone","Chone, cabecera cantonal",2014," Junio ",10,13621737600,0,"No","Ecuatoriano","Ecuador ",1972," Marzo ",16,12288931200,42,0,"Soltero","Indígena","Si","Primaria","Chimborazo","Colta","Cajabamba ","Urbana","Ecuatoriana","Ecuador ",1979," Marzo ",27,12510720000,35,0,"Soltera","Indígena","Si","Primaria","Chimborazo","Colta","Cajabamba ","Urbana"
"59347",1,"Manabí","El Carmen","El Carmen, cabecera cantonal",2014," Julio ",4,13623811200,0,"No","Ecuatoriano","Ecuador ",1972," Octubre ",4,12306384000,41,1,"Divorciado","Mestizo","Si","Se ignora","Manabí","El Carmen","El Carmen, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1989," Junio ",11,12832905600,25,0,"Soltera","Mestiza","Si","Posgrado","Manabí","El Carmen","El Carmen, cabecera cantonal","Urbana"
"59348",1,"Loja","Calvas","Cariamanga, cabecera cantonal ",2014," Octubre ",28,13633833600,0,"No","Ecuatoriano","Ecuador ",1990," Mayo ",27,12863145600,24,0,"Soltero","Mestizo","Si","Educación media /bachillerato","Loja","Calvas","El Lucero ","Rural","Ecuatoriana","Ecuador ",1998," Septiembre ",18,13125456000,16,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Loja","Calvas","El Lucero ","Rural"
"59349",1,"Loja","Catamayo","Catamayo (La Toma), cabecera cantonal",2014," Octubre ",8,13632105600,0,"No","Ecuatoriano","Ecuador ",1991," Enero ",1,12882067200,23,0,"Soltero","Mestizo","Si","Secundaria","Loja","Gonzanamá","Purunuma (Eguiguren) ","Rural","Ecuatoriana","Ecuador ",1998," Octubre ",19,13128134400,15,0,"Soltera","Mestiza","Si","Secundaria","Loja","Gonzanamá","Purunuma (Eguiguren) ","Rural"
"59350",1,"Manabí","Rocafuerte","Rocafuerte, cabecera cantonal",2014," Julio ",10,13624329600,2,"No","Ecuatoriano","Ecuador ",1955," Octubre ",24,11771568000,58,1,"Divorciado","Mestizo","Si","Educación media /bachillerato","Manabí","Rocafuerte","Rocafuerte, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1972," Noviembre ",5,12309148800,41,0,"Soltera","Mestiza","Si","Superior","Manabí","Rocafuerte","Rocafuerte, cabecera cantonal","Urbana"
"59351",1,"Guayas","Naranjal","Naranjal, cabecera cantonal",2014," Octubre ",17,13632883200,0,"No","Ecuatoriano","Ecuador ",1995," Mayo ",17,13020048000,19,0,"Soltero","Mestizo","Si","Educación media /bachillerato","Guayas","Naranjal","Jesús María","Rural","Ecuatoriana","Ecuador ",1993," Abril ",4,12953260800,21,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Guayas","Naranjal","Jesús María","Rural"
"59352",1,"Tungurahua","Ambato","Huachi Chico ",2014," Diciembre ",12,13637721600,1,"Ignorado","Ecuatoriano","Ecuador ",1995," Noviembre ",23,13036464000,19,0,"Soltero","Mestizo","Si","Educación media /bachillerato","Tungurahua","Tisaleo","Tisaleo, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1997," Abril ",1,13079232000,17,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Tungurahua","Ambato","Huachi Grande ","Rural"
"59353",1,"Manabí","Rocafuerte","Rocafuerte, cabecera cantonal",2014," Julio ",25,13625625600,0,"No","Ecuatoriano","Ecuador ",1988," Noviembre ",28,12816057600,25,0,"Soltero","Mestizo","Si","Educación media /bachillerato","Manabí","Rocafuerte","Rocafuerte, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1995," Diciembre ",28,13039488000,18,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Manabí","Rocafuerte","Rocafuerte, cabecera cantonal","Urbana"
"59354",1,"Loja","Saraguro","Saraguro, cabecera cantonal ",2014," Octubre ",2,13631587200,3,"No","Ecuatoriano","Ecuador ",1983," Febrero ",25,12634358400,31,0,"Soltero","Indígena","Si","Secundaria","Loja","Saraguro","Saraguro, cabecera cantonal ","Urbana","Ecuatoriana","Ecuador ",1985," Mayo ",24,12705120000,29,0,"Soltera","Indígena","Si","Secundaria","Loja","Saraguro","Saraguro, cabecera cantonal ","Urbana"
"59355",1,"Loja","Saraguro","Saraguro, cabecera cantonal ",2014," Octubre ",15,13632710400,1,"No","Ecuatoriano","Ecuador ",1993," Diciembre ",2,12974169600,20,0,"Soltero","Indígena","Si","Secundaria","Loja","Loja","San Lucas ","Rural","Ecuatoriana","Ecuador ",1992," Julio ",17,12930710400,22,0,"Soltera","Indígena","Si","Primaria","Loja","Loja","San Lucas ","Rural"
"59356",1,"Loja","Saraguro","Saraguro, cabecera cantonal ",2014," Octubre ",20,13633142400,1,"No","Ecuatoriano","Ecuador ",1984," Octubre ",25,12686889600,29,0,"Soltero","Indígena","No",NA,"Loja","Saraguro","San Pablo de Tenta","Rural","Ecuatoriana","Ecuador ",1992," Agosto ",9,12932697600,22,0,"Soltera","Indígena","Si","Secundaria","Loja","Saraguro","Saraguro, cabecera cantonal ","Urbana"
"59357",1,"Loja","Saraguro","Saraguro, cabecera cantonal ",2014," Octubre ",28,13633833600,2,"No","Ecuatoriano","Ecuador ",1983," Marzo ",7,12635222400,31,0,"Soltero","Mestizo","Si","Primaria","Loja","Saraguro","Saraguro, cabecera cantonal ","Urbana","Ecuatoriana","Ecuador ",1982," Agosto ",1,12616387200,32,0,"Soltera","Mestiza","Si","Primaria","Loja","Saraguro","Saraguro, cabecera cantonal ","Urbana"
"59358",1,"Azuay","Cuenca","San Blas ",2014," Noviembre ",10,13634956800,0,"No","Ecuatoriano","Ecuador ",1967," Noviembre ",30,12153456000,46,1,"Divorciado","Mestizo","Si","Superior","Azuay","Cuenca","Sucre ","Urbana","Ecuatoriana","Ecuador ",1975," Diciembre ",18,12407472000,38,0,"Soltera","Mestiza","Si","Superior","Azuay","Cuenca","Sucre ","Urbana"
"59359",1,"Loja","Celica","Celica, cabecera cantonal ",2014," Octubre ",17,13632883200,0,"No","Ecuatoriano","Ecuador ",1985," Octubre ",27,12718598400,28,0,"Soltero","Mestizo","Si","Se ignora","Loja","Pindal","Chaquinal ","Rural","Ecuatoriana","Ecuador ",1995," Enero ",8,13008902400,19,0,"Soltera","Mestiza","Si","Educación básica","Loja","Pindal","Chaquinal ","Rural"
"59360",1,"Manabí","Montecristi","Montecristi, cabecera cantonal",2014," Agosto ",29,13628649600,99,"Ignorado","Ecuatoriano","Ecuador ",1993," Diciembre ",5,12974428800,20,0,"Soltero","Mestizo","Si","Educación básica","Manabí","Montecristi","Montecristi, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1996," Mayo ",1,13050288000,18,0,"Soltera","Mulata","Si","Primaria","Manabí","Montecristi","Montecristi, cabecera cantonal","Urbana"
"59361",1,"Guayas","Samborondón","Samborondón, cabecera cantonal",2014," Octubre ",8,13632105600,0,"No","Ecuatoriano","Ecuador ",1993," Enero ",12,12946176000,21,0,"Soltero","Mestizo","Si","Educación media /bachillerato","Guayas","Samborondón","Tarifa ","Rural","Ecuatoriana","Ecuador ",1995," Julio ",22,13025750400,19,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Guayas","Samborondón","Tarifa ","Rural"
"59362",1,"Guayas","Samborondón","Samborondón, cabecera cantonal",2014," Octubre ",3,13631673600,0,"No","Ecuatoriano","Ecuador ",1985," Mayo ",15,12704342400,29,0,"Soltero","Mestizo","Si","Secundaria","Guayas","Samborondón","Tarifa ","Rural","Ecuatoriana","Ecuador ",1982," Diciembre ",12,12627878400,31,0,"Soltera","Mestiza","Si","Primaria","Guayas","Samborondón","Tarifa ","Rural"
"59363",1,"Azuay","Cuenca","San Blas ",2014," Noviembre ",12,13635129600,1,"No","Ecuatoriano","Ecuador ",1966," Junio ",3,12106368000,48,1,"Divorciado","Mestizo","Si","Primaria","Azuay","Cuenca","Sucre ","Urbana","Ecuatoriana","Ecuador ",1968," Marzo ",9,12162096000,46,1,"Divorciada","Mestiza","Si","Secundaria","Azuay","Cuenca","Sucre ","Urbana"
"59364",1,"Azuay","Cuenca","San Blas ",2014," Noviembre ",13,13635216000,0,"No","Ecuatoriano","Ecuador ",1969," Enero ",30,12190348800,45,1,"Divorciado","Otro","Si","Superior","Azuay","Cuenca","Sucre ","Urbana","Ecuatoriana","Ecuador ",1977," Mayo ",25,12452745600,37,0,"Soltera","Mestiza","Si","Secundaria","Azuay","Cuenca","Sucre ","Urbana"
"59365",1,"Manabí","Puerto López","Puerto López, cabecera cantonal ",2014," Agosto ",8,13626835200,0,"No","Ecuatoriano","Ecuador ",1981," Octubre ",9,12590812800,32,0,"Soltero","Mestizo","Si","Superior","Manabí","Puerto López","Salango ","Rural","Ecuatoriana","Ecuador ",1983," Junio ",22,12644467200,31,0,"Soltera","Mestiza","Si","Superior","Manabí","Puerto López","Salango ","Rural"
"59366",1,"Cotopaxi","La Maná","La Maná, cabecera cantonal",2014," Noviembre ",26,13636339200,0,"No","Ecuatoriano","Ecuador ",1986," Julio ",21,12741667200,28,0,"Soltero","Mestizo","Si","Secundaria","Cotopaxi","Pangua","Moraspungo ","Rural","Ecuatoriana","Ecuador ",1988," Enero ",30,12789878400,26,0,"Soltera","Mestiza","Si","Secundaria","Cotopaxi","Pangua","Moraspungo ","Rural"
"59367",1,"Guayas","Playas","General Villamil (Playas), cabecera cantonal",2014," Octubre ",3,13631673600,0,"No","Ecuatoriano","Ecuador ",1991," Marzo ",16,12888460800,23,0,"Soltero","Blanco","Si","Centro de alfabetización","Santa Elena","Santa Elena","Chanduy ","Rural","Ecuatoriana","Ecuador ",1999," Mayo ",24,13146883200,15,0,"Soltera","Blanca","Si","Secundaria","Santa Elena","Santa Elena","Chanduy ","Rural"
"59368",1,"Azuay","Cuenca","San Blas ",2014," Octubre ",24,13633488000,0,"No","Ecuatoriano","Ecuador ",1987," Marzo ",25,12763008000,27,0,"Soltero","Mestizo","Si","Educación media /bachillerato","Azuay","Cuenca","Sinincay ","Rural","Ecuatoriana","Ecuador ",1984," Septiembre ",9,12682915200,30,1,"Divorciada","Mestiza","Si","Educación básica","Azuay","Cuenca","Sinincay ","Rural"
"59369",1,"Manabí","Sucre","Bahía de Caráquez, cabecera cantonal",2014," Agosto ",26,13628390400,99,"Ignorado","Ecuatoriano","Ecuador ",1996," Julio ",19,13057113600,18,0,"Soltero","Mestizo","Si","Secundaria","Manabí","Sucre","San Isidro ","Rural","Ecuatoriana","Ecuador ",1992," Mayo ",31,12926649600,22,0,"Soltera","Mestiza","Si","Secundaria","Manabí","Sucre","San Isidro ","Rural"
"59370",1,"Azuay","Cuenca","San Blas ",2014," Octubre ",24,13633488000,0,"No","Ecuatoriano","Ecuador ",1985," Noviembre ",4,12719289600,28,0,"Soltero","Mestizo","Si","Educación básica","Azuay","Cuenca","Chiquintad ","Rural","Ecuatoriana","Ecuador ",1991," Agosto ",5,12900729600,23,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Azuay","Cuenca","Chiquintad ","Rural"
"59371",1,"Manabí","Pichincha","Pichincha, cabecera cantonal",2014," Agosto ",14,13627353600,0,"No","Ecuatoriano","Ecuador ",1995," Abril ",2,13016160000,19,0,"Soltero","Mestizo","Si","Secundaria","Manabí","Pichincha","Pichincha, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",2000," Julio ",28,13184121600,14,0,"Soltera","Mestiza","Si","Secundaria","Manabí","Pichincha","Pichincha, cabecera cantonal","Urbana"
"59372",1,"Manabí","Pedernales","Pedernales, cabecera cantonal ",2014," Agosto ",22,13628044800,0,"No","Ecuatoriano","Ecuador ",1982," Marzo ",29,12605587200,32,0,"Soltero","Ignorado","Si","Superior","Guayas","Guayaquil","Carbo (Concepción) ","Urbana","Ecuatoriana","Ecuador ",1985," Marzo ",28,12700195200,29,0,"Soltera","Ignorado","Si","Superior","Manabí","El Carmen","El Carmen, cabecera cantonal","Urbana"
"59373",1,"Azuay","Cuenca","San Blas ",2014," Octubre ",20,13633142400,1,"No","Ecuatoriano","Ecuador ",1989," Noviembre ",19,12846816000,24,0,"Soltero","Mestizo","Si","Superior","Azuay","Cuenca","Chiquintad ","Rural","Ecuatoriana","Ecuador ",1986," Marzo ",17,12730780800,28,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Azuay","Cuenca","Chiquintad ","Rural"
"59374",1,"Manabí","Montecristi","Montecristi, cabecera cantonal",2014," Agosto ",22,13628044800,0,"No","Ecuatoriano","Ecuador ",1997," Junio ",30,13087008000,17,0,"Soltero","Mestizo","Si","Primaria","Manabí","Montecristi","Montecristi, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1996," Junio ",12,13053916800,18,0,"Soltera","Mestiza","Si","Secundaria","Manabí","Montecristi","Montecristi, cabecera cantonal","Urbana"
"59375",1,"Manabí","Montecristi","Montecristi, cabecera cantonal",2014," Agosto ",29,13628649600,0,"No","Ecuatoriano","Ecuador ",1996," Julio ",25,13057632000,18,0,"Soltero","Mestizo","Si","Secundaria","Manabí","Montecristi","Montecristi, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1997," Junio ",10,13085280000,17,0,"Soltera","Mestiza","Si","Primaria","Manabí","Montecristi","Montecristi, cabecera cantonal","Urbana"
"59376",1,"Azuay","Cuenca","San Blas ",2014," Octubre ",24,13633488000,0,"No","Ecuatoriano","Ecuador ",1983," Mayo ",28,12642307200,31,0,"Soltero","Mestizo","Si","Primaria","Azuay","Cuenca","Chiquintad ","Rural","Ecuatoriana","Ecuador ",1994," Diciembre ",16,13006915200,19,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Azuay","Cuenca","Chiquintad ","Rural"
"59377",1,"Azuay","Cuenca","San Blas ",2014," Octubre ",23,13633401600,0,"No","Ecuatoriano","Ecuador ",1988," Mayo ",29,12800246400,26,0,"Soltero","Mestizo","Si","Superior","Azuay","Cuenca","Sucre ","Urbana","Ecuatoriana","Ecuador ",1987," Julio ",3,12771648000,27,0,"Soltera","Mestiza","Si","Superior","Azuay","Cuenca","Sucre ","Urbana"
"59378",1,"Manabí","Sucre","Bahía de Caráquez, cabecera cantonal",2014," Julio ",18,13625020800,0,"Ignorado","Ecuatoriano","Ecuador ",1994," Noviembre ",1,13003027200,19,0,"Soltero","Mestizo","Si","Secundaria","Manabí","Sucre","San Isidro ","Rural","Ecuatoriana","Ecuador ",1995," Diciembre ",22,13038969600,18,0,"Soltera","Montubia","Si","Secundaria","Manabí","Sucre","San Isidro ","Rural"
"59379",1,"Manabí","Paján","Paján, cabecera cantonal",2014," Julio ",29,13625971200,0,"No","Ecuatoriano","Ecuador ",1929," Octubre ",18,10950595200,84,0,"Soltero","Montubio","No",NA,"Manabí","Paján","Guale ","Rural","Ecuatoriana","Ecuador ",1937," Noviembre ",20,11205907200,76,1,"Viuda","Mestiza","No",NA,"Manabí","Paján","Guale ","Rural"
"59380",1,"Los Ríos","Babahoyo","Babahoyo, cabecera cantonal y capital provincial",2014," Noviembre ",24,13636166400,0,"No","Ecuatoriano","Ecuador ",1989," Marzo ",2,12824179200,25,0,"Soltero","Mestizo","Si","Superior","Los Ríos","Montalvo","Montalvo, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1991," Diciembre ",18,12912393600,22,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Los Ríos","Montalvo","Montalvo, cabecera cantonal","Urbana"
"59381",1,"Manabí","Jaramijó","Jaramijó, cabecera cantonal ",2014," Julio ",25,13625625600,0,"No","Ecuatoriano","Ecuador ",1986," Mayo ",4,12734928000,28,0,"Soltero","Mestizo","Si","Primaria","Manabí","Montecristi","Montecristi, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1997," Marzo ",22,13078368000,17,0,"Soltera","Mestiza","Si","Primaria","Manabí","Montecristi","Montecristi, cabecera cantonal","Urbana"
"59382",1,"Manabí","El Carmen","El Carmen, cabecera cantonal",2014," Noviembre ",26,13636339200,0,"No","Ecuatoriano","Ecuador ",1993," Febrero ",1,12947904000,21,0,"Soltero","Mestizo","Si","Secundaria","Manabí","El Carmen","El Carmen, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1996," Enero ",16,13041129600,18,0,"Soltera","Mestiza","Si","Secundaria","Manabí","El Carmen","El Carmen, cabecera cantonal","Urbana"
"59383",1,"Azuay","Gualaceo","Gualaceo, cabecera cantonal ",2014," Octubre ",9,13632192000,0,"Ignorado","Ecuatoriano","Ecuador ",1983," Noviembre ",27,12658118400,30,0,"Soltero","Mestizo","Si","Primaria","Azuay","Chordeleg","Chordeleg, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1988," Febrero ",14,12791174400,26,0,"Soltera","Mestiza","Si","Primaria","Azuay","Chordeleg","Chordeleg, cabecera cantonal","Urbana"
"59384",1,"Cotopaxi","Pujilí","Zumbahua ",2014," Noviembre ",21,13635907200,0,"No","Ecuatoriano","Ecuador ",1990," Octubre ",1,12874118400,24,0,"Soltero","Indígena","No",NA,"Cotopaxi","Pujilí","Tingo ","Rural","Ecuatoriana","Ecuador ",1996," Junio ",11,13053830400,18,0,"Soltera","Indígena","No",NA,"Cotopaxi","Pujilí","Tingo ","Rural"
"59385",1,"Azuay","Gualaceo","Gualaceo, cabecera cantonal ",2014," Octubre ",17,13632883200,0,"Ignorado","Ecuatoriano","Ecuador ",1986," Junio ",21,12739075200,28,0,"Soltero","Mestizo","Si","Primaria","Azuay","Chordeleg","Chordeleg, cabecera cantonal","Urbana","Ecuatoriana","Ecuador ",1982," Junio ",7,12611635200,32,0,"Soltera","Mestiza","Si","Primaria","Azuay","Chordeleg","Chordeleg, cabecera cantonal","Urbana"
"59386",1,"Azuay","Cuenca","San Blas ",2014," Octubre ",31,13634092800,0,"No","Ecuatoriano","Ecuador ",1988," Febrero ",19,12791606400,26,0,"Soltero","Mestizo","Si","Educación básica","Azuay","Oña","Susudel ","Rural","Ecuatoriana","Ecuador ",1992," Agosto ",2,12932092800,22,0,"Soltera","Mestiza","Si","Educación media /bachillerato","Azuay","Oña","Susudel ","Rural"
"59387",1,"Manabí","Bolívar","Calceta, cabecera cantonal ",2014," Julio ",7,13624070400,2,"No","Ecuatoriano","Ecuador ",1978," Septiembre ",30,12495340800,35,0,"Soltero","Mestizo","Si","Secundaria","Manabí","Bolívar","Calceta, cabecera cantonal ","Urbana","Ecuatoriana","Ecuador ",1976," Septiembre ",18,12431232000,37,0,"Soltera","Mestiza","Si","Primaria","Manabí","Bolívar","Calceta, cabecera cantonal ","Urbana"
"59388",1,"Manabí","Bolívar","Calceta, cabecera cantonal ",2014," Julio ",25,13625625600,1,"No","Ecuatoriano","Ecuador ",1989," Julio ",2,12834720000,25,0,"Soltero","Mestizo","Si","Secundaria","Manabí","Bolívar","Calceta, cabecera cantonal ","Urbana","Ecuatoriana","Ecuador ",1994," Diciembre ",11,13006483200,19,0,"Soltera","Mestiza","Si","Educación básica","Manabí","Bolívar","Calceta, cabecera cantonal ","Urbana"
